,компания,сектор,год,тип отчета,ссылка на отчет,E_Общие,E_Биоразнообразие,E_Вода,E_Газ,E_Климат,E_Отходы,E_Экологический менеджмент,E_Энергия,S_Безопасность и охрана здоровья,S_Безопасность продукта,S_Благотворительность,S_Инвестиции и капитальные вложения,S_Налоги,S_Обучение и развитие,S_Оплата труда,S_Отношения с потребителями,S_Отношения с работниками,S_Охрана здоровья,S_Профсоюзы и коллективные договоры,S_Трудовые отношения,G_Антикоррупция,G_Дивиденды и акционеры,G_Инновации,G_Лидерство,G_Отчетность и прозрачность,G_Управление рисками,G_Эффективность и производительность
31,BELUGA GROUP,Производство пищевых и других потребительских товаров,2020,ОУР,/download/baae8200a1fdf328de3aeca315ebf0d2/,0.04,0.01,0.02,0.0,0.03,0.02,0.03,0.03,0.06,0.02,0.04,0.04,0.02,0.02,0.06,0.06,0.05,0.01,0.05,0.07,0.05,0.03,0.02,0.06,0.06,0.03,0.05
32,BIOCAD,Здравоохранение и спорт,"2021, 2020",ОУР,/download/5ab0f38aa43b35a05cf72fb59f614913/,0.04,0.03,0.02,0.0,0.02,0.02,0.02,0.02,0.11,0.02,0.02,0.03,0.01,0.01,0.03,0.03,0.04,0.06,0.03,0.05,0.04,0.02,0.02,0.04,0.05,0.03,0.04
33,BIOCAD,Здравоохранение и спорт,"2019, 2018",ОУР,/download/ed769a25206d71e8f2cd8e04f10ec860/,0.05,0.04,0.01,0.0,0.02,0.03,0.02,0.01,0.11,0.01,0.03,0.03,0.01,0.03,0.04,0.03,0.05,0.07,0.03,0.06,0.04,0.02,0.03,0.04,0.04,0.02,0.04
36,BP p.l.c.,Нефтегазовая,2009,ОУР,/download/12823be8874e70d03b867b5c2212f6cd/,0.06,0.05,0.01,0.06,0.03,0.04,0.04,0.04,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.0,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.04
37,BP p.l.c.,Нефтегазовая,2008,ОУР,/download/42cbc91f09caac24edd5f065431073eb/,0.05,0.03,0.0,0.04,0.03,0.03,0.04,0.04,0.03,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.02,0.0,0.01,0.03,0.02,0.03,0.01,0.03,0.04,0.03,0.04
38,BP p.l.c.,Нефтегазовая,2007,ОУР,/download/981f0a78b9acc1bd8dffe018fec1ab9e/,0.03,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.02
39,BP p.l.c.,Нефтегазовая,2006,ОУР,/download/fe6cb566005265a875c6f559a58efdfe/,0.07,0.04,0.01,0.04,0.04,0.03,0.06,0.04,0.05,0.03,0.02,0.04,0.01,0.02,0.03,0.04,0.03,0.0,0.03,0.05,0.04,0.03,0.01,0.05,0.06,0.04,0.06
40,BP p.l.c.,Нефтегазовая,2005,ОУР,/download/6bf256721bd479508958ae9bdb9d6c63/,0.06,0.03,0.01,0.04,0.03,0.03,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.02,0.03,0.05,0.03,0.01,0.03,0.05,0.04,0.03,0.02,0.05,0.06,0.04,0.05
41,BP p.l.c.,Нефтегазовая,2004,ОУР,/download/340a1f1e61bbe6f62e4e8532b7f5fb98/,0.06,0.03,0.01,0.03,0.04,0.03,0.06,0.05,0.05,0.02,0.03,0.04,0.02,0.02,0.03,0.04,0.03,0.01,0.03,0.05,0.04,0.04,0.02,0.05,0.05,0.04,0.06
42,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2020,ОУР,/download/b2fa0254faab03e5e11b9282b98f0f7d/,0.04,0.01,0.03,0.0,0.03,0.03,0.03,0.02,0.05,0.02,0.03,0.04,0.01,0.01,0.03,0.04,0.03,0.02,0.02,0.04,0.03,0.02,0.01,0.03,0.03,0.02,0.04
43,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2019,ОУР,/download/f2f40213ae5ae412ede53ab2cfc96f9d/,0.03,0.01,0.03,0.0,0.02,0.04,0.02,0.02,0.05,0.01,0.03,0.03,0.01,0.01,0.03,0.04,0.03,0.0,0.02,0.04,0.03,0.02,0.01,0.03,0.03,0.02,0.04
44,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2018,ОУР,/download/2e55777be2e555e7fb037e80a28082fa/,0.04,0.01,0.02,0.0,0.02,0.04,0.02,0.02,0.05,0.01,0.04,0.03,0.01,0.01,0.04,0.03,0.04,0.0,0.02,0.05,0.04,0.02,0.01,0.03,0.04,0.03,0.04
45,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2017,ОУР,/download/329cead1ac6cd227e08a3da3a78556cb/,0.05,0.01,0.02,0.01,0.03,0.04,0.03,0.03,0.06,0.02,0.03,0.04,0.01,0.02,0.05,0.06,0.05,0.0,0.04,0.06,0.04,0.03,0.01,0.05,0.05,0.04,0.05
46,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,"2016, 2015",ОУР,/download/1e586bddb05a350c8a2fe55e24f3fd5b/,0.03,0.01,0.02,0.0,0.02,0.02,0.02,0.02,0.06,0.01,0.02,0.02,0.0,0.01,0.02,0.03,0.02,0.0,0.02,0.03,0.02,0.02,0.0,0.02,0.02,0.02,0.06
48,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2014,ОУР,/download/17581eb461b2ff92b41d4f336015ad69/,0.03,0.01,0.01,0.0,0.02,0.02,0.03,0.02,0.07,0.01,0.02,0.02,0.0,0.01,0.03,0.03,0.02,0.0,0.02,0.04,0.03,0.02,0.01,0.03,0.03,0.03,0.07
49,«Coca-Cola HBC Россия»,Производство пищевых и других потребительских товаров,2013,ОУР,/download/9ed2781bcf0d8d0c10dc58c6ba435871/,0.02,0.01,0.01,0.0,0.02,0.02,0.03,0.02,0.07,0.01,0.03,0.02,0.0,0.01,0.03,0.03,0.03,0.0,0.03,0.04,0.03,0.02,0.01,0.03,0.03,0.03,0.07
