,компания,сектор,год,тип отчета,ссылка на отчет
316,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2019,ОУР,/download/1a51edd44f6f1845359e1dc6711363e7/
317,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2018,ОУР,/download/38ac9cb9cc39effeaf38c02d48d8bbae/
318,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2017,ОУР,/download/5fba67714555f33b542269642f689e3d/
319,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2016,СО,/download/da41750b871d8c64bf41316a201e1e70/
320,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2015,СО,/download/e7553a1508cac97c1677416aeca43ecb/
321,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2014,СО,/download/abd4034dbae5b99b6ba439c43942364b/
322,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2013,СО,/download/b1f6178c4ef95dca0529cfb5671ee271/
323,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2012,СО,/download/f615371536ee131ff7298865dcb78747/
324,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2011,ОУР,/download/f71da340f4970cc9308a22cb52df093b/
325,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2010,ОУР,/download/a2db7b16f655779a3334114281cfe093/
326,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2009,ОУР,/download/14f6655a47d3819ad916974e2ef258c1/
327,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2008,ОУР,/download/3624eeaab3c44b48e951d1540fe3e040/
328,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2007,СО,/download/1654712721c594ced6147de5f3ff725f/
329,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2006,СО,/download/a690dfab1c35d802ceb55c9883fdfd74/
330,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,2005,СО,/download/3469fe73b7782e1f6c9fa342ac24dcbf/
331,ПАО «ГМК «Норильский никель»,Металлургическая и горнодобывающая,"2004, 2003",СО,/download/4ef5bfacb8f00d1e80bf995f70cfecd1/
332,АО «ГНЦ НИИАР»,Энергетика,2021,ОУР,/download/e5b0b42de642fd4a69df7a411ce2ee82/
333,АО «ГНЦ НИИАР»,Энергетика,2020,ЭО,/download/e17edf1212117de1d0e3687d20102f4b/
334,АО «ГНЦ НИИАР»,Энергетика,2019,ЭО,/download/b640ba3f2a6df396b321f69c7cc2caa6/
335,АО «ГНЦ НИИАР»,Энергетика,2018,ИО,/download/2eee46e0ab3db095d3db4ff055bc9a08/
336,АО «ГНЦ НИИАР»,Энергетика,2018,ЭО,/download/ec08e7f549d4062f9c4a68cbabdadb30/
337,АО «ГНЦ НИИАР»,Энергетика,2017,ЭО,/download/b47f711987dfaa4229b4f6d7e538d6f0/
338,АО «ГНЦ НИИАР»,Энергетика,2017,ИО,/download/1d4e85d10a5bd5bcc5f93ce696ca2795/
339,АО «ГНЦ НИИАР»,Энергетика,2016,ИО,/download/c8f42ac46cdbe8e6743c6eba00de3019/
340,АО «ГНЦ НИИАР»,Энергетика,2015,ИО,/download/65a74ff82c0702caa19643b44fe5fdad/
341,АО «ГНЦ НИИАР»,Энергетика,2014,ИО,/download/a9ee2e2440a10c3985f99cfd251d426f/
342,АО «ГНЦ НИИАР»,Энергетика,2013,ИО,/download/df6a9a908c4f0956ad755d1c38c8b36b/
343,АО «ГНЦ НИИАР»,Энергетика,2012,ИО,/download/afb23a33a8530a86b3bbf217f857b8ac/
344,ПАО «Газпром»,Энергетика,2021,ЭО,/download/220c96edbcbf7b605f9325dd1bb0a349/
345,ПАО «Газпром»,Энергетика,2021,ОУР,/download/3b7a670ea710f80b22fca17904d1ce72/
346,ПАО «Газпром»,Энергетика,2020,ОУР,/download/36447764d1e0d18e061d1196f71fa17a/
347,ПАО «Газпром»,Энергетика,2020,ЭО,/download/b2ca98f36845cef39c22f955ed8dbb3e/
348,ПАО «Газпром»,Энергетика,2019,ОУР,/download/eb9de0964338038d1a1757eb8184b25e/
349,ПАО «Газпром»,Энергетика,2019,ЭО,/download/55033dd7fcdf6cccc0a5c91ac624ec12/
350,ПАО «Газпром»,Энергетика,2018,ЭО,/download/bfcd6ab5898ad8d89200ca02c2c66d0f/
351,ПАО «Газпром»,Энергетика,2018,ОУР,/download/c1c62f9f7cce7379ec8609d5f702d36a/
352,ПАО «Газпром»,Энергетика,2017,ЭО,/download/8dd9842ef6ed7475b2551e157acfd886/
353,ПАО «Газпром»,Энергетика,2017,ОУР,/download/430887e9f6bd54a17c08856e15360b0e/
354,ПАО «Газпром»,Энергетика,2016,ЭО,/download/8ec19a0c043798c4ec9f4fa81c54af1d/
355,ПАО «Газпром»,Энергетика,2016,ОУР,/download/1e77ef99b31b506107ff27f9217f3282/
356,ПАО «Газпром»,Энергетика,2015,ЭО,/download/6d8fc120e98b2c369b9d4cba4391c8f5/
357,ПАО «Газпром»,Энергетика,"2015, 2014",ОУР,/download/438f61c68ee1d09530a0ca4eb974b877/
358,ПАО «Газпром»,Энергетика,2014,ЭО,/download/104ac650e27aba816b6e6eb4b9c4202f/
359,ПАО «Газпром»,Энергетика,"2013, 2012",ОУР,/download/47e1cdd581cd65d390d80ed4f0412541/
360,ПАО «Газпром»,Энергетика,2013,ЭО,/download/872b1d3dd74b2e781974e37895160fc1/
361,ПАО «Газпром»,Энергетика,2012,ЭО,/download/2930c50a6f4045305c01cd87f0077afc/
362,ПАО «Газпром»,Энергетика,2011,ЭО,/download/37adb43fe28bda933897f9bb8becd6e1/
363,ПАО «Газпром»,Энергетика,"2011, 2010",ОУР,/download/68c182d935aad686a0200495c043a343/
364,ПАО «Газпром»,Энергетика,2010,ЭО,/download/432939126c51f4849ca6f5771db7f087/
365,ПАО «Газпром»,Энергетика,"2009, 2008",ОУР,/download/129f26eb2f2627de31f30f7abcebdb30/
366,ПАО «Газпром»,Энергетика,2009,ЭО,/download/3de1101eef0e0c46d7d69bdd1296d944/
367,ПАО «Газпром»,Энергетика,2008,ЭО,/download/f0568d875868b6d45afcb119293daf6d/
368,ПАО «Газпром»,Энергетика,2007,ЭО,/download/fdb025636bd4dea35c2a3dc92fe919f5/
369,ПАО «Газпром»,Энергетика,2006,ЭО,/download/ef3269ee3bd3cb553bf44559fc640b5c/
370,ПАО «Газпром»,Энергетика,2005,ЭО,/download/70d2927d5b39635c51ad049dee029f92/
371,ПАО «Газпром»,Энергетика,2004,ЭО,/download/8200a0cdb70857dfe0b922c4eabd5cf2/
372,ПАО «Газпром»,Энергетика,2003,ЭО,/download/0152d4c6e68cdc3d677d11fe7ecf47d9/
373,ПАО «Газпром»,Энергетика,2002,ЭО,/download/ffe937787ee44992f44cbf0017fbe311/
374,ПАО «Газпром»,Энергетика,2001,ЭО,/download/9f540b3770216d66e8154be2b7d3176c/
375,ПАО «Газпром нефть»,Нефтегазовая,2020,ОУР,/download/7b225217cfde1290b9cbe94a4302962d/
376,ПАО «Газпром нефть»,Нефтегазовая,2019,ОУР,/download/2727afe18a04c5fe922a58317df5d796/
377,ПАО «Газпром нефть»,Нефтегазовая,2018,ОУР,/download/f7c8e07103d5ffdcc9a546d073c678e2/
378,ПАО «Газпром нефть»,Нефтегазовая,2017,ОУР,/download/0e67dec89e605d16794ff57860d0ba47/
379,ПАО «Газпром нефть»,Нефтегазовая,2016,ОУР,/download/d0b4a390899538bea59fdc417d6f4249/
380,ПАО «Газпром нефть»,Нефтегазовая,2015,ОУР,/download/21ada5fb4e55c29685183751c783f6d3/
381,ПАО «Газпром нефть»,Нефтегазовая,2014,ОУР,/download/b150b7a2b8fdfe5ff33c54bde211fe0d/
382,ПАО «Газпром нефть»,Нефтегазовая,2013,ОУР,/download/87dc3cb33c4a7fc7916166e82d9a7ec1/
383,ПАО «Газпром нефть»,Нефтегазовая,2012,ОУР,/download/ab1c0c161619eaa7e2f414ec87283e4a/
384,ПАО «Газпром нефть»,Нефтегазовая,2011,ОУР,/download/a2794a0883de26c8107b647ab87584a8/
385,ПАО «Газпром нефть»,Нефтегазовая,2010,ОУР,/download/2bfba93f636a2f96f1287aee630d5b75/
386,ПАО «Газпром нефть»,Нефтегазовая,2009,ОУР,/download/7d862625d3808b8a414e643f9038da40/
387,ПАО «Газпром нефть»,Нефтегазовая,"2009, 2008, 2007",ОУР,/download/9056f702e6d5c7c903f01285e5a73de0/
388,ПАО «Газпром нефть»,Нефтегазовая,2007,ОУР,/download/48941578c899a5ccdeada8585155ccaa/
389,ПАО «Газпром нефть»,Нефтегазовая,2004,СО,/download/8064f0b9e669e839a1181be1a2cf9cd7/
390,ПАО «Газпром нефть»,Нефтегазовая,"2003, 2002",СО,/download/3e3b0dec363499d501279dd73c2b9780/
391,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2013,ЭО,/download/6862903908464f27b90e600995a44173/
392,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2012,ЭО,/download/8051b6a0aaf50e6ce115a80dcbab1228/
393,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2011,ЭО,/download/16bd7b32a51f49942639ce2db0e75c49/
394,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2010,ЭО,/download/fdebf573e5726146c3395a631507b49a/
395,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2009,ЭО,/download/f07f4c2499619079c96e803abe3261be/
396,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2008,ЭО,/download/31d004d1799cfb43d35addf04e37abd6/
397,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2007,ЭО,/download/7c3b4581081bdd89406804e3b07592b9/
398,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2006,ЭО,/download/a861b98b99f927baea396b8e153de310/
399,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2005,ЭО,/download/0b3f1edf24780e66e1e7cb182fedfb0a/
400,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2004,ЭО,/download/7436ebff421bcbc6bccc06b198a4a3a8/
401,ООО «Газпром трансгаз Ухта» (ООО «Севергазпром»),Нефтегазовая,2003,ЭО,/download/62aa2218f8e8f6743841417213fa0a97/
402,Группа Газпром энергохолдинг,Нефтегазовая,2020,ОУР,/download/45bcad74f5bfa87d9043e4993a362a11/
403,Группа Газпром энергохолдинг,Нефтегазовая,"2019, 2018",ОУР,/download/90bff3c1c26b59734727d7d23c347139/
404,Группа Газпром энергохолдинг,Нефтегазовая,"2017, 2016",ОУР,/download/6e3d606cbf3f5acb840e77d5f1247f49/
405,Группа Газпром энергохолдинг,Нефтегазовая,"2015, 2014",ОУР,/download/ed4cf1d193babd238d380ed061ca458d/
406,Группа Газпром энергохолдинг,Нефтегазовая,"2013, 2012",ОУР,/download/10742809bd3a0149d45ccf5cf7a3df62/
407,Газпромбанк,Финансы и страхование,2020,ОУР,/download/917ab6211e4b28504562fa4a78359ac6/
408,ОАО «Головной институт «ВНИПИЭТ»,Энергетика,2017,ИО,/download/76daa1d1c623425a575d59546d8e2e74/
409,ОАО «Головной институт «ВНИПИЭТ»,Энергетика,2015,ИО,/download/c21edfa6de5738cb41b19c0a349355c8/
410,ОАО «Головной институт «ВНИПИЭТ»,Энергетика,2014,ИО,/download/6cc3b35769b8a128cf0f5ea6c1929279/
411,ОАО «Головной институт «ВНИПИЭТ»,Энергетика,2013,ИО,/download/555af94d1970adfb7f49af5a89918df3/
412,Госкорпорация «Росатом»,Энергетика,2021,ИО,/download/da12f2cb8c6abb33c7f8fd3ef272efcb/
413,Госкорпорация «Росатом»,Энергетика,2020,ОУР,/download/92d621ec27d34c83c5011b86808db58a/
414,Госкорпорация «Росатом»,Энергетика,2018,ИО,/download/5cb1aa65505b6f879f37bb697a936bb0/
415,Госкорпорация «Росатом»,Энергетика,2017,ИО,/download/ee2a14fbfe358af66c61d7e99e8606ae/
416,Госкорпорация «Росатом»,Энергетика,2016,ИО,/download/dfea2be79663cd8ad8c6ef0a9544267e/
417,Госкорпорация «Росатом»,Энергетика,2015,ИО,/download/29ed8c8f4e1339ade3e06687d19225d3/
418,Госкорпорация «Росатом»,Энергетика,2014,ИО,/download/470f32e4d917763132e18758b1ceae52/
419,Госкорпорация «Росатом»,Энергетика,2013,ИО,/download/65790bb362faaeafeea3159d1e57b6d5/
420,Госкорпорация «Росатом»,Энергетика,2012,ИО,/download/2819a6c149d926eed4c18141397a75c3/
421,Госкорпорация «Росатом»,Энергетика,2011,ИО,/download/28c9dccab976313a96e47a15a9d83f3f/
422,Госкорпорация «Росатом»,Энергетика,2010,ИО,/download/48a764c2d7147113e1487118a9318cb6/
423,Госкорпорация «Росатом»,Энергетика,2009,ИО,/download/b88396b76ee817a7b08aecdc9995b957/
424,Группа «Черкизово»,Производство пищевых и других потребительских товаров,2020,ИО,/download/2ba703caff29725e0353b93316811a2d/
425,Группа ГТЛК,"Транспорт, дорожное строительство и логистические услуги ",2021,ОУР,/download/c4540f0cf46d67b0fef7e2848345195a/
426,Группа ГТЛК,"Транспорт, дорожное строительство и логистические услуги ",2020,ИО,/download/b474a0ab206c44cc21bb39d40e1d28cd/
427,Группа ГТЛК,"Транспорт, дорожное строительство и логистические услуги ",2019,ИО,/download/ea5db72dae6d6447c6589874e10adbe2/
428,Группа компаний АКИГ,"Прочие виды производства, услуг",2020,ОУР,/download/e3fcd7d54409420d322e0b5866cf26ee/
429,Группа компаний АКИГ,"Прочие виды производства, услуг",2019,ОУР,/download/d33c7936d9e68ba0eefcb38c04f8d614/
430,РАО «ЕЭС РОССИИ»,Энергетика,"2007, 2006",ОУР,/download/02c047634d22a203e859554f90d7c406/
431,РАО «ЕЭС РОССИИ»,Энергетика,"2005, 2004",СО,/download/7221571a67702634b002ceb8f8986f3a/
432,ОАО «Евразийский»,ЖКХ и бытовое обслуживание,2011,ИО,/download/9ea40d4373974de2a26968d6dafab159/
433,ОАО «Енисейская территориальная генерирующая компания» (ТГК-13),Энергетика,2008,ОУР,/download/20c679a450ae22ff5e7ca1fd98cd552b/
434,ОАО «Енисейская территориальная генерирующая компания» (ТГК-13),Энергетика,2007,ОУР,/download/4ca52e3d7b6b336abc06c4fb6fb1510f/
435,ОАО «Енисейская территориальная генерирующая компания» (ТГК-13),Энергетика,2006,СО,/download/369b974c61c84eef6384de976f0d75e0/
436,ОАО «Енисейская территориальная генерирующая компания» (ТГК-13),Энергетика,2005,СО,/download/c3126e96d7ad435c1c691b0db81c6c72/
437,АО «Зарубежнефть»,Нефтегазовая,2020,ИО,/download/6968d4178200efd713bb489da108b8d9/
438,АО «Зарубежнефть»,Нефтегазовая,2019,ОУР,/download/59f2d4fae5a572bafa90be83d2763dc5/
439,АО «Зарубежнефть»,Нефтегазовая,2018,ОУР,/download/b6338ecc4a79885c0e7f09d6a9b64ce1/
440,АО «Зарубежнефть»,Нефтегазовая,2017,ОУР,/download/da95fa53b3bd4d1d00fc573743cf4723/
441,АО «Зарубежнефть»,Нефтегазовая,2016,ОУР,/download/d731f0eab3e9da449a0f4114fc8fd3b2/
442,АО «Зарубежнефть»,Нефтегазовая,2015,ОУР,/download/57e4ac9b39147acb088ae82335479c74/
443,АО «Зарубежнефть»,Нефтегазовая,2014,ОУР,/download/b0f991e0faba3e14d4d3502ea8213382/
444,АО «Зарубежнефть»,Нефтегазовая,2013,ОУР,/download/dcf6695df5b60e0e5e0d566825ec0f71/
445,АО «Зарубежнефть»,Нефтегазовая,2012,ОУР,/download/2c4ff8af41280386ef201ee50b039011/
446,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2017,ИО,/download/30340a1d2a8dead19d3f3ff3a1af74c9/
447,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2016,ИО,/download/6c5e74c410988719bae1f1bf5a31a5bd/
448,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2015,ИО,/download/c498968051ab24956ef46b9dddd789c6/
449,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2014,ИО,/download/58a7554280bb48e13c22bd076a3a29b4/
450,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2013,ИО,/download/13f9242fda50141f72db6312d3251738/
451,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2012,ИО,/download/99b07fc2d09b0e40b68fd0fdd405b94a/
452,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2011,ИО,/download/17c03af85b1813613325cea4b4dfa90f/
453,АО ИК «АСЭ» (АО «НИАЭП»),Энергетика,2010,ИО,/download/382ae8aec49e92b68446519c1c9a057d/
454,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2021,ОУР,/download/7fccd7ebee17eb26c6959986b8535be5/
455,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2020,ОУР,/download/c1f13c76f395b7bc10fc34b28762e7d9/
456,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2019,ОУР,/download/d94c36236af43dc60dcd1b57089c9fc1/
457,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2018,ОУР,/download/dc3026ef5622ff13b07467c901473743/
458,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2017,СО,/download/baaf41d5a373117b95bfd7f8f64bf722/
459,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2016,СО,/download/df5b465c9d5fd6fa652cd2a75cdc1694/
460,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2015,ОУР,/download/6406c1d4fd2088f5294a0cc0d1d4a384/
461,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2014,ОУР,/download/1e2ed1fba578755b05ad289e94111120/
462,ПАО «ИК РУСС-ИНВЕСТ»,Финансы и страхование,2013,ОУР,/download/9f7ffce71675cf005f67a809789ee351/
463,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2021,ИО,/download/7486e5899c571306998da2e532a50d3c/
464,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2020,ИО,/download/57ad4955827d2325f0ea6d24387d833a/
465,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2019,ИО,/download/a4c0ed9f5bee5fe6cdb8b1b9403ccc42/
466,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2018,ИО,/download/c36855b09378680defa8f4d9b4cfe62c/
467,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2017,ИО,/download/fe0c07d94ee9100db06e64681ea74971/
468,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2016,ИО,/download/1ec0d0502676b0f792e40fc456cc029a/
469,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2015,ИО,/download/43c85ee3979fc4a516a023be0bf63503/
470,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2014,ОУР,/download/d5683076edbeadc104ca1e4945432403/
471,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2013,ИО,/download/62e150d76802f346ddf9347ab9ccf55e/
472,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2012,ИО,/download/fa0e1211224c448263c9fbe211a1c08c/
473,ПАО «ИНТЕР РАО ЕЭС»,Энергетика,2011,ОУР,/download/15f460872e57ef9613e357154a9e6ec7/
474,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2015,ЭО,/download/91b73739df423a84d2f9e0c1ab705986/
475,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2014,ЭО,/download/344fcc4fb546eae08944c4afe676ab06/
476,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2013,ЭО,/download/65da06292b97f298047f45e4f3cc027f/
477,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2012,ЭО,/download/2e1f116f736af55bac009cf3167a7bee/
478,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2011,ЭО,/download/4c62967e86bc10279bb590761ee40a50/
479,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2010,ЭО,/download/48ad3a07b5e4203f5fde5fa3ecf33019/
480,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2009,ЭО,/download/d2f9a7d6aa649355f4ae7711226a3844/
481,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2008,ЭО,/download/20fd92c5e5d841eb79226f85c6781454/
482,АО «Группа «Илим»,"Деревообрабатывающая, целлюлозно-бумажная",2004,СО,/download/c9c85a7a1397bdd10dc73b4ec738f327/
483,Инжиниринговый дивизион Госкорпорации «Росатом»,Энергетика,2019,ОУР,/download/dd4e2f278364b3c07bfbee29c5ca426d/
484,Инжиниринговый дивизион Госкорпорации «Росатом»,Энергетика,2018,ИО,/download/2d131d75ce4ebcda31944ce56dbd8dca/
485,Инжиниринговый дивизион Госкорпорации «Росатом»,Энергетика,2017,ИО,/download/74d0e6c4141ec248c99cb9e4873087e3/
486,Инжиниринговый дивизион Госкорпорации «Росатом»,Энергетика,2016,ИО,/download/ed41953a390fc7588b8de609c3ec2a18/
487,Инжиниринговый дивизион Госкорпорации «Росатом»,Энергетика,2015,ИО,/download/c1d7120c27b160e3b5d1b06fbe9054e9/
488,ПАО «КАМАЗ»,Производство машин и оборудования,2020,ИО,/download/b7592a3ebc6a7f0c53684a72d6802a6b/
489,ПАО «КАМАЗ»,Производство машин и оборудования,2019,ИО,/download/17bc6c928e6d58790f15c364f7074533/
490,ПАО «КАМАЗ»,Производство машин и оборудования,2018,ИО,/download/ce9e06589b5e938df897d592b1618963/
491,ПАО «КАМАЗ»,Производство машин и оборудования,2017,ИО,/download/9833ac9fd11a36fa50a26a387998caf9/
492,«КОМСТАР-ОТС»,Телекоммуникационная и связь,2009,СО,/download/0bbe3b19323b26adba8b0a84867fcbec/
493,«КОМСТАР-ОТС»,Телекоммуникационная и связь,2008,СО,/download/700446e6cc7e923be8f08c7197a302b7/
494,«КОМСТАР-ОТС»,Телекоммуникационная и связь,2007,СО,/download/1229ff3bc065189dfc6d687d24c3f89b/
495,ПАО «Казаньоргсинтез»,"Химическая, нефтехимическая, парфюмерная",2015,ОУР,/download/6d27783ac6ed53d37ec632d727c13065/
496,ПАО «Казаньоргсинтез»,"Химическая, нефтехимическая, парфюмерная",2014,ОУР,/download/b7ed698beec2409b9521471d672cfc4f/
497,ПАО «Казаньоргсинтез»,"Химическая, нефтехимическая, парфюмерная",2013,ОУР,/download/aaa0e25f4dab7d776b000d919d85a76f/
498,АО «Калининградский янтарный комбинат»,"Прочие виды производства, услуг",2019,СО,/download/1db7f4513b1d3ebf5aa8d9312a843620/
499,АО «Калининградский янтарный комбинат»,"Прочие виды производства, услуг",2018,СО,/download/00296468d072a3904a82f7f535ca18f5/
500,ПАО «Ковровский механический завод»,Производство машин и оборудования,2017,ИО,/download/583666ede8a894a7da512dcac50a7e4f/
501,ПАО «Ковровский механический завод»,Производство машин и оборудования,2016,ИО,/download/6115705fbaef90ff02db882baa105016/
502,ПАО «Ковровский механический завод»,Производство машин и оборудования,2015,ИО,/download/e129873aebe5ad6c0798360ae4f958fc/
503,ПАО «Ковровский механический завод»,Производство машин и оборудования,2014,ИО,/download/44caa2541f229c0b5f86eda7cdc82d98/
504,ПАО «Ковровский механический завод»,Производство машин и оборудования,2013,ИО,/download/90611164f538cadafa883bcc513171c2/
505,ПАО «Ковровский механический завод»,Производство машин и оборудования,2012,ИО,/download/a46aaebff59fddb4b84d1d098c7fab54/
506,ПАО «Ковровский механический завод»,Производство машин и оборудования,2011,ИО,/download/774eab2f8755193b61357af2b01ff272/
507,ПАО «Ковровский механический завод»,Производство машин и оборудования,2010,ИО,/download/eeac579b7d1db9e69a2ecacf0b6f0967/
508,ОАО Коммерческий банк «СОЦИАЛЬНЫЙ ГОРОДСКОЙ БАНК»,Финансы и страхование,2007,СО,/download/9b007146fdb1ca47ff9ed6ed125217de/
509,«Группа Компаний ПИК»,Строительство,2019,ОУР,/download/5e9def2bcb8333e3c27681bb1a4b125d/
510,«Группа Компаний ПИК»,Строительство,2018,ОУР,/download/6adace585ae5b5d6571a96df3a70a9ea/
511,Компания Свеза,"Деревообрабатывающая, целлюлозно-бумажная",2019,ОУР,/download/ff80ec1f60a46db00090037df0148e32/
512,Корпорация «ЭксонМобил»,Нефтегазовая,2019,ОУР,/download/0409345cd0d4b1874a8693c6bae1c4c3/
513,Корпорация «ЭксонМобил»,Нефтегазовая,2018,ОУР,/download/30e4517dfcbf1d2e382f8f0bd8c21680/
514,Корпорация «ЭксонМобил»,Нефтегазовая,2017,ОУР,/download/3b8a5064552e3d683a550c431a9bc603/
515,Корпорация «ЭксонМобил»,Нефтегазовая,2016,ОУР,/download/bdf8f05a0b77296126796b964b850672/
516,Компания Крафтфудс ,Производство пищевых и других потребительских товаров,2012,СО,/download/785b8bb7119e333c3c83e70a41a78a10/
517,Компания Крафтфудс ,Производство пищевых и других потребительских товаров,2011,СО,/download/350ba844f33e51d354aff216a3b62640/
518,Компания Крафтфудс ,Производство пищевых и других потребительских товаров,2010,СО,/download/4640234305ef88493e2fa6c630163488/
519,ОАО «Кузбассэнерго»,Энергетика,2006,СО,/download/2aa9dad7a6fc89febd9e2d41693dd99a/
520,ОАО «Кузбассэнерго»,Энергетика,2005,СО,/download/0c06fe7f1948bbc4b55bb8bc28773272/
521,Группа ЛСР,Строительство,2021,ОУР,/download/3422d01e2c602239891cf09964a47d9b/
522,Группа ЛСР,Строительство,2020,ОУР,/download/f2b8cd884af2a09fe77fb6deb5903642/
523,Группа ЛСР,Строительство,2019,ОУР,/download/20fdec48557727d97a2f5665dd064349/
524,Группа ЛСР,Строительство,2018,ОУР,/download/1a1808541e435a37f275dd3fbd0bd548/
525,Группа ЛСР,Строительство,2017,ОУР,/download/7a812c2bcd14a2b33299755ab5e7ff6c/
526,ПАО «ЛУКОЙЛ»,Нефтегазовая,2021,ОУР,/download/b1c943491484fd9e291de585e32d4759/
527,ПАО «ЛУКОЙЛ»,Нефтегазовая,2020,ОУР,/download/9cffeb348de6ad2a35531fefa61cc5d9/
528,ПАО «ЛУКОЙЛ»,Нефтегазовая,2019,ОУР,/download/4e9f9ec4e73e5a90f8abc2154f0a11f4/
529,ПАО «ЛУКОЙЛ»,Нефтегазовая,2018,ОУР,/download/0b1eb44c1da2e6b0ac7fd2dff6680328/
530,ПАО «ЛУКОЙЛ»,Нефтегазовая,2017,ОУР,/download/bcf600ed65bb38cf3586e03c5f753970/
531,ПАО «ЛУКОЙЛ»,Нефтегазовая,2016,ОУР,/download/97ace8114b9f0224a0b1b7f7d8a29a87/
532,ПАО «ЛУКОЙЛ»,Нефтегазовая,2015,ОУР,/download/3fe9618b624e9abde7e35e394c6cf814/
533,ПАО «ЛУКОЙЛ»,Нефтегазовая,2014,ОУР,/download/3723bfece08453a718cef5b7cec754a1/
534,ПАО «ЛУКОЙЛ»,Нефтегазовая,2013,ОУР,/download/ddb528370cfb8f66b1bb8e27d0cbb709/
535,ПАО «ЛУКОЙЛ»,Нефтегазовая,2012,ОУР,/download/a38f294de3751d5729476ba4ad596cc2/
536,ПАО «ЛУКОЙЛ»,Нефтегазовая,2011,ОУР,/download/2466a41f3be23f5354d111b5166acf0f/
537,ПАО «ЛУКОЙЛ»,Нефтегазовая,2010,ОУР,/download/d275c7d02dae4312a878b25443b943d2/
538,ПАО «ЛУКОЙЛ»,Нефтегазовая,2009,ОУР,/download/36db26b7b5acd585a9f245f04be6cde2/
